Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,BelVethsBBDaddy,Belveth,0,0,593,464,100,JUNGLE,Mtbkiller,Jax,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5322656392
60,BelVethsBBDaddy,Belveth,0,0,6062,8205,100,JUNGLE,Mtbkiller,Jax,0,0,10145,13394,200,JUNGLE,6602.772902349437,NA1_5322656392
120,BelVethsBBDaddy,Belveth,0,0,5284,11562,100,JUNGLE,Mtbkiller,Jax,1,0,11966,13249,200,JUNGLE,6891.668375654766,NA1_5322656392
180,BelVethsBBDaddy,Belveth,0,11,8801,2382,100,JUNGLE,Mtbkiller,Jax,2,8,7053,11255,200,JUNGLE,9043.540954736702,NA1_5322656392
240,BelVethsBBDaddy,Belveth,2,12,2978,7326,100,JUNGLE,Mtbkiller,Jax,2,16,10184,6003,200,JUNGLE,7326.442861307252,NA1_5322656392
300,BelVethsBBDaddy,Belveth,2,20,1010,545,100,JUNGLE,Mtbkiller,Jax,2,24,7867,5317,200,JUNGLE,8354.066853934077,NA1_5322656392
360,BelVethsBBDaddy,Belveth,2,28,3369,8745,100,JUNGLE,Mtbkiller,Jax,2,28,12294,1409,200,JUNGLE,11553.03081446596,NA1_5322656392
420,BelVethsBBDaddy,Belveth,3,32,4072,9560,100,JUNGLE,Mtbkiller,Jax,2,32,6213,9492,200,JUNGLE,2142.0795970271506,NA1_5322656392
480,BelVethsBBDaddy,Belveth,4,36,3383,11049,100,JUNGLE,Mtbkiller,Jax,2,34,6156,12381,200,JUNGLE,3076.3213421227633,NA1_5322656392
540,BelVethsBBDaddy,Belveth,5,42,6226,6510,100,JUNGLE,Mtbkiller,Jax,2,40,6594,6208,200,JUNGLE,476.0546187151218,NA1_5322656392
600,BelVethsBBDaddy,Belveth,6,47,8644,2754,100,JUNGLE,Mtbkiller,Jax,2,48,10180,5952,200,JUNGLE,3547.7457631572192,NA1_5322656392
660,BelVethsBBDaddy,Belveth,14,50,1774,9830,100,JUNGLE,Mtbkiller,Jax,4,56,8672,8819,200,JUNGLE,6971.694557279457,NA1_5322656392
720,BelVethsBBDaddy,Belveth,14,54,5372,7199,100,JUNGLE,Mtbkiller,Jax,4,59,3735,11068,200,JUNGLE,4201.062960727915,NA1_5322656392
780,BelVethsBBDaddy,Belveth,14,62,9774,6159,100,JUNGLE,Mtbkiller,Jax,4,65,11180,8316,200,JUNGLE,2574.778631261336,NA1_5322656392
840,BelVethsBBDaddy,Belveth,14,62,4019,6108,100,JUNGLE,Mtbkiller,Jax,6,71,11475,1248,200,JUNGLE,8900.086291716501,NA1_5322656392
900,BelVethsBBDaddy,Belveth,18,74,7883,3556,100,JUNGLE,Mtbkiller,Jax,6,75,10074,4929,200,JUNGLE,2585.6546559817302,NA1_5322656392
960,BelVethsBBDaddy,Belveth,19,74,3905,3212,100,JUNGLE,Mtbkiller,Jax,6,83,4716,10223,200,JUNGLE,7057.750491480979,NA1_5322656392
1020,BelVethsBBDaddy,Belveth,19,78,3662,6311,100,JUNGLE,Mtbkiller,Jax,7,87,12272,6653,200,JUNGLE,8616.789657407218,NA1_5322656392
1080,BelVethsBBDaddy,Belveth,19,88,5342,7005,100,JUNGLE,Mtbkiller,Jax,10,99,6649,11382,200,JUNGLE,4567.973073475806,NA1_5322656392
1140,BelVethsBBDaddy,Belveth,19,95,2987,1766,100,JUNGLE,Mtbkiller,Jax,10,107,8506,3500,200,JUNGLE,5784.99066550673,NA1_5322656392
1200,BelVethsBBDaddy,Belveth,22,105,3996,6532,100,JUNGLE,Mtbkiller,Jax,11,111,10077,9044,200,JUNGLE,6579.415247573298,NA1_5322656392
1260,BelVethsBBDaddy,Belveth,25,112,5850,12398,100,JUNGLE,Mtbkiller,Jax,11,119,4810,8679,200,JUNGLE,3861.678521057909,NA1_5322656392
1320,BelVethsBBDaddy,Belveth,25,113,394,461,100,JUNGLE,Mtbkiller,Jax,11,119,2894,11586,200,JUNGLE,11402.43943198121,NA1_5322656392
1380,BelVethsBBDaddy,Belveth,25,123,2400,8335,100,JUNGLE,Mtbkiller,Jax,15,119,12980,5961,200,JUNGLE,10843.075025102427,NA1_5322656392
1440,BelVethsBBDaddy,Belveth,25,131,5692,12716,100,JUNGLE,Mtbkiller,Jax,21,123,7100,4552,200,JUNGLE,8284.525333415308,NA1_5322656392
1500,BelVethsBBDaddy,Belveth,25,131,3832,8568,100,JUNGLE,Mtbkiller,Jax,21,127,6713,4786,200,JUNGLE,4754.3332865923485,NA1_5322656392
1560,BelVethsBBDaddy,Belveth,25,131,10600,4792,100,JUNGLE,Mtbkiller,Jax,22,135,10315,4508,200,JUNGLE,402.3443798538759,NA1_5322656392
1620,BelVethsBBDaddy,Belveth,25,135,10402,4882,100,JUNGLE,Mtbkiller,Jax,22,135,13201,8493,200,JUNGLE,4568.776860386158,NA1_5322656392
1680,BelVethsBBDaddy,Belveth,25,139,3334,8032,100,JUNGLE,Mtbkiller,Jax,22,135,11658,3694,200,JUNGLE,9386.544625153603,NA1_5322656392
1740,BelVethsBBDaddy,Belveth,33,151,8533,6659,100,JUNGLE,Mtbkiller,Jax,22,147,8490,6705,200,JUNGLE,62.96824596572466,NA1_5322656392
1800,BelVethsBBDaddy,Belveth,33,151,5246,4792,100,JUNGLE,Mtbkiller,Jax,22,147,10372,11694,200,JUNGLE,8597.294923404686,NA1_5322656392
1860,BelVethsBBDaddy,Belveth,35,155,13643,7501,100,JUNGLE,Mtbkiller,Jax,22,147,12860,11360,200,JUNGLE,3937.6350770481513,NA1_5322656392
1920,BelVethsBBDaddy,Belveth,40,159,14041,4694,100,JUNGLE,Mtbkiller,Jax,22,151,4956,5794,200,JUNGLE,9151.350993159425,NA1_5322656392
1980,BelVethsBBDaddy,Belveth,43,159,8207,8138,100,JUNGLE,Mtbkiller,Jax,23,155,2947,3224,200,JUNGLE,7198.26340168238,NA1_5322656392
2007,BelVethsBBDaddy,Belveth,47,159,12950,12968,100,JUNGLE,Mtbkiller,Jax,23,155,2947,3224,200,JUNGLE,13964.438585206353,NA1_5322656392
