Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,Shaco,Poppy,0,0,593,464,100,JUNGLE,DIARY OF JANE,LeeSin,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5321492287
60,Shaco,Poppy,0,0,6178,5044,100,JUNGLE,DIARY OF JANE,LeeSin,0,0,7197,9882,200,JUNGLE,4944.148561683801,NA1_5321492287
120,Shaco,Poppy,0,4,11139,7007,100,JUNGLE,DIARY OF JANE,LeeSin,0,4,7213,11414,200,JUNGLE,5902.128853218981,NA1_5321492287
180,Shaco,Poppy,0,12,12451,2275,100,JUNGLE,DIARY OF JANE,LeeSin,0,12,12910,11466,200,JUNGLE,9202.454129198362,NA1_5321492287
240,Shaco,Poppy,1,16,7342,3802,100,JUNGLE,DIARY OF JANE,LeeSin,0,16,7154,7245,200,JUNGLE,3448.1289129033444,NA1_5321492287
300,Shaco,Poppy,1,24,3388,10823,100,JUNGLE,DIARY OF JANE,LeeSin,1,24,7722,10905,200,JUNGLE,4334.77565740143,NA1_5321492287
360,Shaco,Poppy,1,32,4458,5982,100,JUNGLE,DIARY OF JANE,LeeSin,1,28,3292,11362,200,JUNGLE,5504.902905592432,NA1_5321492287
420,Shaco,Poppy,1,36,9561,3518,100,JUNGLE,DIARY OF JANE,LeeSin,1,32,12079,4628,200,JUNGLE,2751.803772073874,NA1_5321492287
480,Shaco,Poppy,1,40,11960,3594,100,JUNGLE,DIARY OF JANE,LeeSin,1,40,11953,3724,200,JUNGLE,130.18832512940628,NA1_5321492287
540,Shaco,Poppy,1,40,1916,3457,100,JUNGLE,DIARY OF JANE,LeeSin,1,40,7658,10958,200,JUNGLE,9446.457801737115,NA1_5321492287
600,Shaco,Poppy,1,46,4813,10005,100,JUNGLE,DIARY OF JANE,LeeSin,1,50,6653,12498,200,JUNGLE,3098.4914071205685,NA1_5321492287
660,Shaco,Poppy,1,58,1239,9156,100,JUNGLE,DIARY OF JANE,LeeSin,1,60,10713,5273,200,JUNGLE,10238.865415660077,NA1_5321492287
720,Shaco,Poppy,1,66,8202,2522,100,JUNGLE,DIARY OF JANE,LeeSin,1,68,10890,4736,200,JUNGLE,3482.404341830512,NA1_5321492287
780,Shaco,Poppy,1,74,2781,7951,100,JUNGLE,DIARY OF JANE,LeeSin,6,72,7180,11332,200,JUNGLE,5548.185469142141,NA1_5321492287
840,Shaco,Poppy,2,74,11066,4944,100,JUNGLE,DIARY OF JANE,LeeSin,6,80,12142,4516,200,JUNGLE,1157.9982728829953,NA1_5321492287
900,Shaco,Poppy,2,74,3895,6207,100,JUNGLE,DIARY OF JANE,LeeSin,6,88,7455,5098,200,JUNGLE,3728.737185697056,NA1_5321492287
960,Shaco,Poppy,4,86,4795,8540,100,JUNGLE,DIARY OF JANE,LeeSin,6,94,7776,10533,200,JUNGLE,3585.8625182792493,NA1_5321492287
1020,Shaco,Poppy,4,86,4730,10176,100,JUNGLE,DIARY OF JANE,LeeSin,10,98,6380,12433,200,JUNGLE,2795.8091851912927,NA1_5321492287
1080,Shaco,Poppy,4,94,8693,2372,100,JUNGLE,DIARY OF JANE,LeeSin,10,110,10428,2945,200,JUNGLE,1827.1710374237,NA1_5321492287
1140,Shaco,Poppy,4,94,1340,2086,100,JUNGLE,DIARY OF JANE,LeeSin,10,116,8265,5097,200,JUNGLE,7551.27446196998,NA1_5321492287
1200,Shaco,Poppy,4,102,2778,9689,100,JUNGLE,DIARY OF JANE,LeeSin,10,124,3052,10760,200,JUNGLE,1105.4940072203015,NA1_5321492287
1260,Shaco,Poppy,11,106,7249,13548,100,JUNGLE,DIARY OF JANE,LeeSin,10,124,13835,14274,200,JUNGLE,6625.894052880713,NA1_5321492287
1320,Shaco,Poppy,11,106,5879,12463,100,JUNGLE,DIARY OF JANE,LeeSin,12,124,8742,6846,200,JUNGLE,6304.55850952309,NA1_5321492287
1380,Shaco,Poppy,11,110,7082,4339,100,JUNGLE,DIARY OF JANE,LeeSin,15,138,7855,10513,200,JUNGLE,6222.202584294408,NA1_5321492287
1440,Shaco,Poppy,11,110,11800,6978,100,JUNGLE,DIARY OF JANE,LeeSin,15,152,11475,6624,200,JUNGLE,480.5632112428083,NA1_5321492287
1500,Shaco,Poppy,11,122,2553,2198,100,JUNGLE,DIARY OF JANE,LeeSin,16,152,7450,10092,200,JUNGLE,9289.555694434475,NA1_5321492287
1560,Shaco,Poppy,11,122,7805,10337,100,JUNGLE,DIARY OF JANE,LeeSin,20,156,8834,9777,200,JUNGLE,1171.5122705289946,NA1_5321492287
1620,Shaco,Poppy,11,130,5592,6952,100,JUNGLE,DIARY OF JANE,LeeSin,20,156,5671,7256,200,JUNGLE,314.0971187387748,NA1_5321492287
1680,Shaco,Poppy,11,130,6633,2803,100,JUNGLE,DIARY OF JANE,LeeSin,20,156,12715,11821,200,JUNGLE,10877.272084488832,NA1_5321492287
1740,Shaco,Poppy,11,138,6028,8204,100,JUNGLE,DIARY OF JANE,LeeSin,20,168,8236,8413,200,JUNGLE,2217.8694731656324,NA1_5321492287
1800,Shaco,Poppy,11,142,6032,9072,100,JUNGLE,DIARY OF JANE,LeeSin,23,168,4693,9924,200,JUNGLE,1587.0806532750628,NA1_5321492287
1860,Shaco,Poppy,19,142,10996,10305,100,JUNGLE,DIARY OF JANE,LeeSin,23,168,9950,10392,200,JUNGLE,1049.6118330125666,NA1_5321492287
1920,Shaco,Poppy,19,142,2960,5149,100,JUNGLE,DIARY OF JANE,LeeSin,23,168,11264,8307,200,JUNGLE,8884.220843720625,NA1_5321492287
1980,Shaco,Poppy,21,146,11936,11284,100,JUNGLE,DIARY OF JANE,LeeSin,23,172,13150,11760,200,JUNGLE,1303.9831287252148,NA1_5321492287
2040,Shaco,Poppy,21,146,11221,9948,100,JUNGLE,DIARY OF JANE,LeeSin,23,176,8595,5313,200,JUNGLE,5327.203863191271,NA1_5321492287
2100,Shaco,Poppy,21,158,5358,5723,100,JUNGLE,DIARY OF JANE,LeeSin,23,184,11665,9546,200,JUNGLE,7375.2002006725215,NA1_5321492287
