Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,PvA,Shaco,0,0,593,464,100,JUNGLE,naenaeswag,MasterYi,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5321552785
60,PvA,Shaco,0,0,6778,4818,100,JUNGLE,naenaeswag,MasterYi,0,0,10666,7689,200,JUNGLE,4833.134076352528,NA1_5321552785
120,PvA,Shaco,0,4,8025,3497,100,JUNGLE,naenaeswag,MasterYi,0,4,6256,12197,200,JUNGLE,8878.02686411795,NA1_5321552785
180,PvA,Shaco,0,16,2154,8302,100,JUNGLE,naenaeswag,MasterYi,0,16,11909,4006,200,JUNGLE,10659.063795662356,NA1_5321552785
240,PvA,Shaco,0,28,7343,12037,100,JUNGLE,naenaeswag,MasterYi,0,20,11384,6722,200,JUNGLE,6676.743667387569,NA1_5321552785
300,PvA,Shaco,0,32,6932,5439,100,JUNGLE,naenaeswag,MasterYi,0,28,7466,11593,200,JUNGLE,6177.124897555496,NA1_5321552785
360,PvA,Shaco,0,40,3822,6531,100,JUNGLE,naenaeswag,MasterYi,0,36,11976,2064,200,JUNGLE,9297.408509902101,NA1_5321552785
420,PvA,Shaco,1,48,6101,8112,100,JUNGLE,naenaeswag,MasterYi,1,40,6869,11461,200,JUNGLE,3435.931460317566,NA1_5321552785
480,PvA,Shaco,5,48,4702,9635,100,JUNGLE,naenaeswag,MasterYi,2,44,7224,12038,200,JUNGLE,3483.5173316635014,NA1_5321552785
540,PvA,Shaco,5,54,4697,9455,100,JUNGLE,naenaeswag,MasterYi,2,52,11923,1491,200,JUNGLE,10753.621343528886,NA1_5321552785
600,PvA,Shaco,5,70,6157,5187,100,JUNGLE,naenaeswag,MasterYi,3,58,11855,7400,200,JUNGLE,6112.656787355233,NA1_5321552785
660,PvA,Shaco,5,82,11095,1889,100,JUNGLE,naenaeswag,MasterYi,7,68,12942,1825,200,JUNGLE,1848.1084924863042,NA1_5321552785
720,PvA,Shaco,6,82,2784,6520,100,JUNGLE,naenaeswag,MasterYi,8,68,7575,13443,200,JUNGLE,8419.121688157264,NA1_5321552785
780,PvA,Shaco,6,86,3022,12917,100,JUNGLE,naenaeswag,MasterYi,8,76,3789,13602,200,JUNGLE,1028.3549970705642,NA1_5321552785
840,PvA,Shaco,6,90,3007,7527,100,JUNGLE,naenaeswag,MasterYi,12,76,11040,8564,200,JUNGLE,8099.657894010092,NA1_5321552785
900,PvA,Shaco,9,102,10203,5119,100,JUNGLE,naenaeswag,MasterYi,17,80,12457,6486,200,JUNGLE,2636.134480636373,NA1_5321552785
960,PvA,Shaco,9,106,10849,6289,100,JUNGLE,naenaeswag,MasterYi,18,84,13519,13903,200,JUNGLE,8068.574595304923,NA1_5321552785
1020,PvA,Shaco,9,120,3456,6718,100,JUNGLE,naenaeswag,MasterYi,18,88,6235,12572,200,JUNGLE,6480.135569569513,NA1_5321552785
1080,PvA,Shaco,9,130,4818,9509,100,JUNGLE,naenaeswag,MasterYi,18,99,7608,9831,200,JUNGLE,2808.5198948912575,NA1_5321552785
1140,PvA,Shaco,9,130,7234,8876,100,JUNGLE,naenaeswag,MasterYi,18,99,12797,12134,200,JUNGLE,6446.823481374374,NA1_5321552785
1200,PvA,Shaco,10,138,7156,9248,100,JUNGLE,naenaeswag,MasterYi,27,103,10197,5938,200,JUNGLE,4494.861621896719,NA1_5321552785
1260,PvA,Shaco,10,141,8615,4515,100,JUNGLE,naenaeswag,MasterYi,27,103,8474,5285,200,JUNGLE,782.8032958540734,NA1_5321552785
1320,PvA,Shaco,10,141,12324,6628,100,JUNGLE,naenaeswag,MasterYi,27,111,10040,4977,200,JUNGLE,2818.2365053344975,NA1_5321552785
1380,PvA,Shaco,10,157,10174,1381,100,JUNGLE,naenaeswag,MasterYi,33,111,7847,10334,200,JUNGLE,9250.466907135013,NA1_5321552785
1440,PvA,Shaco,15,161,3584,6401,100,JUNGLE,naenaeswag,MasterYi,44,115,1655,12964,200,JUNGLE,6840.614738457356,NA1_5321552785
1500,PvA,Shaco,21,169,5830,9402,100,JUNGLE,naenaeswag,MasterYi,57,115,8137,13563,200,JUNGLE,4757.748417056118,NA1_5321552785
1560,PvA,Shaco,23,173,6130,9922,100,JUNGLE,naenaeswag,MasterYi,59,119,12920,13657,200,JUNGLE,7749.472562697412,NA1_5321552785
1620,PvA,Shaco,24,181,12964,9660,100,JUNGLE,naenaeswag,MasterYi,68,119,8703,13534,200,JUNGLE,5758.819062967685,NA1_5321552785
1680,PvA,Shaco,26,181,12623,6313,100,JUNGLE,naenaeswag,MasterYi,80,119,9642,13396,200,JUNGLE,7684.741374958561,NA1_5321552785
1740,PvA,Shaco,28,189,12319,11604,100,JUNGLE,naenaeswag,MasterYi,80,119,11196,11716,200,JUNGLE,1128.5712206148091,NA1_5321552785
1746,PvA,Shaco,28,189,12595,12764,100,JUNGLE,naenaeswag,MasterYi,80,119,11196,11716,200,JUNGLE,1748.0002860411664,NA1_5321552785
