Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,Zast,Trundle,0,0,593,464,100,JUNGLE,hayley williams,Shaco,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5321587129
60,Zast,Trundle,0,0,4729,8523,100,JUNGLE,hayley williams,Shaco,0,0,6833,11411,200,JUNGLE,3573.1442736055315,NA1_5321587129
120,Zast,Trundle,0,4,2423,8346,100,JUNGLE,hayley williams,Shaco,0,7,7043,12487,200,JUNGLE,6204.214777068892,NA1_5321587129
180,Zast,Trundle,0,16,7774,3750,100,JUNGLE,hayley williams,Shaco,0,16,12531,6552,200,JUNGLE,5520.892409746815,NA1_5321587129
240,Zast,Trundle,0,24,10527,5257,100,JUNGLE,hayley williams,Shaco,0,24,9846,7538,200,JUNGLE,2380.487765143942,NA1_5321587129
300,Zast,Trundle,0,32,2959,7662,100,JUNGLE,hayley williams,Shaco,0,31,6732,12530,200,JUNGLE,6158.973372243137,NA1_5321587129
360,Zast,Trundle,0,40,9994,4458,100,JUNGLE,hayley williams,Shaco,0,40,12758,6377,200,JUNGLE,3364.856163344876,NA1_5321587129
420,Zast,Trundle,0,48,8711,2421,100,JUNGLE,hayley williams,Shaco,0,44,10335,13786,200,JUNGLE,11480.444285827965,NA1_5321587129
480,Zast,Trundle,0,52,4539,10020,100,JUNGLE,hayley williams,Shaco,0,51,7145,9714,200,JUNGLE,2623.9039616571336,NA1_5321587129
540,Zast,Trundle,0,52,2451,8428,100,JUNGLE,hayley williams,Shaco,0,57,11027,8330,200,JUNGLE,8576.559916423368,NA1_5321587129
600,Zast,Trundle,0,64,8302,2538,100,JUNGLE,hayley williams,Shaco,0,69,8450,3732,200,JUNGLE,1203.137564869454,NA1_5321587129
660,Zast,Trundle,0,64,8541,5657,100,JUNGLE,hayley williams,Shaco,0,77,11628,7138,200,JUNGLE,3423.8764580516045,NA1_5321587129
720,Zast,Trundle,0,64,9010,5491,100,JUNGLE,hayley williams,Shaco,0,81,9807,4386,200,JUNGLE,1362.436787524471,NA1_5321587129
780,Zast,Trundle,0,72,566,974,100,JUNGLE,hayley williams,Shaco,0,89,9088,9579,200,JUNGLE,12110.760050467517,NA1_5321587129
840,Zast,Trundle,0,84,3816,8397,100,JUNGLE,hayley williams,Shaco,1,101,7687,7249,200,JUNGLE,4037.6410192091125,NA1_5321587129
900,Zast,Trundle,6,88,2488,8605,100,JUNGLE,hayley williams,Shaco,4,103,2427,9851,200,JUNGLE,1247.4922845452793,NA1_5321587129
960,Zast,Trundle,6,88,6287,6561,100,JUNGLE,hayley williams,Shaco,4,103,5070,10296,200,JUNGLE,3928.271120989487,NA1_5321587129
1020,Zast,Trundle,9,92,10814,4823,100,JUNGLE,hayley williams,Shaco,4,111,12205,9658,200,JUNGLE,5031.113793187349,NA1_5321587129
1080,Zast,Trundle,9,96,11274,4425,100,JUNGLE,hayley williams,Shaco,5,111,11193,4929,200,JUNGLE,510.4674328495404,NA1_5321587129
1140,Zast,Trundle,12,104,11508,1616,100,JUNGLE,hayley williams,Shaco,5,121,7369,10932,200,JUNGLE,10194.075583396467,NA1_5321587129
1200,Zast,Trundle,12,112,2431,8373,100,JUNGLE,hayley williams,Shaco,5,125,11428,3333,200,JUNGLE,10312.497709090654,NA1_5321587129
1260,Zast,Trundle,13,120,9079,3670,100,JUNGLE,hayley williams,Shaco,10,129,10360,2429,200,JUNGLE,1783.5475883754825,NA1_5321587129
1320,Zast,Trundle,13,120,10701,2082,100,JUNGLE,hayley williams,Shaco,12,129,4500,4982,200,JUNGLE,6845.611806113461,NA1_5321587129
1380,Zast,Trundle,13,128,9832,6697,100,JUNGLE,hayley williams,Shaco,12,129,11870,11154,200,JUNGLE,4900.846151431404,NA1_5321587129
1440,Zast,Trundle,13,128,9995,6985,100,JUNGLE,hayley williams,Shaco,12,129,10110,4637,200,JUNGLE,2350.8145396861914,NA1_5321587129
1500,Zast,Trundle,13,140,3903,10569,100,JUNGLE,hayley williams,Shaco,12,141,6794,12493,200,JUNGLE,3472.701686007596,NA1_5321587129
1560,Zast,Trundle,13,140,4724,9453,100,JUNGLE,hayley williams,Shaco,19,149,3334,3573,200,JUNGLE,6042.060906677456,NA1_5321587129
1605,Zast,Trundle,13,140,1381,2302,100,JUNGLE,hayley williams,Shaco,21,149,1536,2117,200,JUNGLE,241.3503677229434,NA1_5321587129
