Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,oreZ,Graves,0,0,593,464,100,JUNGLE,rqewwfqra,Pantheon,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5321601305
60,oreZ,Graves,0,0,4976,8740,100,JUNGLE,rqewwfqra,Pantheon,0,0,6478,9714,200,JUNGLE,1790.1620038421104,NA1_5321601305
120,oreZ,Graves,0,4,2347,8884,100,JUNGLE,rqewwfqra,Pantheon,0,4,6616,12652,200,JUNGLE,5694.048208436595,NA1_5321601305
180,oreZ,Graves,0,16,7422,3238,100,JUNGLE,rqewwfqra,Pantheon,0,13,11580,7802,200,JUNGLE,6174.063491737026,NA1_5321601305
240,oreZ,Graves,0,24,12845,2972,100,JUNGLE,rqewwfqra,Pantheon,0,24,13360,3560,200,JUNGLE,781.6450601136042,NA1_5321601305
300,oreZ,Graves,1,32,2840,8418,100,JUNGLE,rqewwfqra,Pantheon,0,24,6534,12422,200,JUNGLE,5447.71989000903,NA1_5321601305
360,oreZ,Graves,1,40,4223,2334,100,JUNGLE,rqewwfqra,Pantheon,0,36,12763,6144,200,JUNGLE,9351.34749648413,NA1_5321601305
420,oreZ,Graves,1,47,9903,4148,100,JUNGLE,rqewwfqra,Pantheon,0,36,13924,14106,200,JUNGLE,10739.190146375098,NA1_5321601305
480,oreZ,Graves,1,55,3222,11116,100,JUNGLE,rqewwfqra,Pantheon,0,44,7273,11758,200,JUNGLE,4101.556411900244,NA1_5321601305
540,oreZ,Graves,2,60,4104,6089,100,JUNGLE,rqewwfqra,Pantheon,1,48,5104,8704,200,JUNGLE,2799.6830177718334,NA1_5321601305
600,oreZ,Graves,2,75,9600,2510,100,JUNGLE,rqewwfqra,Pantheon,1,56,14237,13764,200,JUNGLE,12171.864483307396,NA1_5321601305
660,oreZ,Graves,3,75,11063,1789,100,JUNGLE,rqewwfqra,Pantheon,1,56,13280,3886,200,JUNGLE,3051.63857624064,NA1_5321601305
720,oreZ,Graves,6,81,4242,6102,100,JUNGLE,rqewwfqra,Pantheon,1,68,13094,12170,200,JUNGLE,10732.125977643012,NA1_5321601305
780,oreZ,Graves,6,91,8619,2650,100,JUNGLE,rqewwfqra,Pantheon,1,72,3626,8301,200,JUNGLE,7540.812290463144,NA1_5321601305
840,oreZ,Graves,7,95,13611,2951,100,JUNGLE,rqewwfqra,Pantheon,1,84,3402,11422,200,JUNGLE,13265.802727313565,NA1_5321601305
900,oreZ,Graves,7,95,4845,7851,100,JUNGLE,rqewwfqra,Pantheon,3,84,4588,7583,200,JUNGLE,371.3125368203988,NA1_5321601305
960,oreZ,Graves,7,115,8228,2190,100,JUNGLE,rqewwfqra,Pantheon,3,84,14340,14391,200,JUNGLE,13646.279529600733,NA1_5321601305
1020,oreZ,Graves,7,115,3969,10416,100,JUNGLE,rqewwfqra,Pantheon,3,84,14340,14391,200,JUNGLE,11106.676640651784,NA1_5321601305
1080,oreZ,Graves,13,115,9952,5104,100,JUNGLE,rqewwfqra,Pantheon,3,84,10033,5189,200,JUNGLE,117.41379816699569,NA1_5321601305
1140,oreZ,Graves,14,123,5549,8692,100,JUNGLE,rqewwfqra,Pantheon,4,88,7223,11113,200,JUNGLE,2943.385295879559,NA1_5321601305
1200,oreZ,Graves,14,141,6999,4043,100,JUNGLE,rqewwfqra,Pantheon,4,96,11970,4668,200,JUNGLE,5010.136325490555,NA1_5321601305
1260,oreZ,Graves,14,144,10308,4876,100,JUNGLE,rqewwfqra,Pantheon,5,96,13970,11779,200,JUNGLE,7814.195607994466,NA1_5321601305
1320,oreZ,Graves,14,150,8159,3497,100,JUNGLE,rqewwfqra,Pantheon,5,104,11357,4490,200,JUNGLE,3348.619566328788,NA1_5321601305
1380,oreZ,Graves,17,158,13690,7882,100,JUNGLE,rqewwfqra,Pantheon,5,104,13881,10972,200,JUNGLE,3095.8974466219,NA1_5321601305
1440,oreZ,Graves,30,158,11959,11371,100,JUNGLE,rqewwfqra,Pantheon,5,104,13946,13698,200,JUNGLE,3059.917972756786,NA1_5321601305
1472,oreZ,Graves,33,158,12720,12747,100,JUNGLE,rqewwfqra,Pantheon,6,104,11577,11001,200,JUNGLE,2086.8552896643314,NA1_5321601305
