Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,iheartMom5,JarvanIV,0,0,593,464,100,JUNGLE,Filament,LeeSin,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5321459249
60,iheartMom5,JarvanIV,0,0,4824,8656,100,JUNGLE,Filament,LeeSin,0,0,8245,10216,200,JUNGLE,3759.8990677942406,NA1_5321459249
120,iheartMom5,JarvanIV,0,4,2364,8300,100,JUNGLE,Filament,LeeSin,0,4,7053,11015,200,JUNGLE,5418.297334034004,NA1_5321459249
180,iheartMom5,JarvanIV,0,16,7677,3492,100,JUNGLE,Filament,LeeSin,0,12,11507,8064,200,JUNGLE,5964.233731167818,NA1_5321459249
240,iheartMom5,JarvanIV,0,24,10959,5109,100,JUNGLE,Filament,LeeSin,0,24,12509,4925,200,JUNGLE,1560.8830833858121,NA1_5321459249
300,iheartMom5,JarvanIV,0,32,2385,9026,100,JUNGLE,Filament,LeeSin,0,28,6282,12350,200,JUNGLE,5122.068429843553,NA1_5321459249
360,iheartMom5,JarvanIV,0,44,1198,658,100,JUNGLE,Filament,LeeSin,3,32,10923,8602,200,JUNGLE,12557.179659461754,NA1_5321459249
420,iheartMom5,JarvanIV,0,48,9759,5766,100,JUNGLE,Filament,LeeSin,3,40,10081,5896,200,JUNGLE,347.2520698282445,NA1_5321459249
480,iheartMom5,JarvanIV,0,48,3523,8324,100,JUNGLE,Filament,LeeSin,3,44,11615,12208,200,JUNGLE,8975.852048691533,NA1_5321459249
540,iheartMom5,JarvanIV,0,60,7538,5077,100,JUNGLE,Filament,LeeSin,3,52,5170,10389,200,JUNGLE,5815.906464172202,NA1_5321459249
600,iheartMom5,JarvanIV,3,68,11485,7107,100,JUNGLE,Filament,LeeSin,4,54,11222,8518,200,JUNGLE,1435.3013620839354,NA1_5321459249
660,iheartMom5,JarvanIV,3,72,394,461,100,JUNGLE,Filament,LeeSin,5,58,12925,7210,200,JUNGLE,14232.883123246675,NA1_5321459249
720,iheartMom5,JarvanIV,3,73,7381,9744,100,JUNGLE,Filament,LeeSin,5,65,8370,8625,200,JUNGLE,1493.4128699057069,NA1_5321459249
780,iheartMom5,JarvanIV,3,80,4826,2966,100,JUNGLE,Filament,LeeSin,5,69,11688,5592,200,JUNGLE,7347.306989639129,NA1_5321459249
840,iheartMom5,JarvanIV,3,88,13557,5972,100,JUNGLE,Filament,LeeSin,5,73,3722,9999,200,JUNGLE,10627.509303689176,NA1_5321459249
900,iheartMom5,JarvanIV,6,92,11815,5658,100,JUNGLE,Filament,LeeSin,5,81,10352,6192,200,JUNGLE,1557.4097084582463,NA1_5321459249
960,iheartMom5,JarvanIV,6,96,10653,4588,100,JUNGLE,Filament,LeeSin,5,89,11586,7501,200,JUNGLE,3058.767398806258,NA1_5321459249
1020,iheartMom5,JarvanIV,6,100,7004,5316,100,JUNGLE,Filament,LeeSin,5,89,4740,9146,200,JUNGLE,4449.111821476282,NA1_5321459249
1080,iheartMom5,JarvanIV,6,108,4692,9881,100,JUNGLE,Filament,LeeSin,5,97,6272,9367,200,JUNGLE,1661.5041378221122,NA1_5321459249
1140,iheartMom5,JarvanIV,6,108,7688,3413,100,JUNGLE,Filament,LeeSin,5,101,7604,3433,200,JUNGLE,86.34813257969161,NA1_5321459249
1200,iheartMom5,JarvanIV,6,116,3728,6486,100,JUNGLE,Filament,LeeSin,5,109,7314,11040,200,JUNGLE,5796.405092813993,NA1_5321459249
