Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,Zaphkiel,JarvanIV,0,0,593,464,100,JUNGLE,Quinngle,Quinn,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5321622511
60,Zaphkiel,JarvanIV,0,0,3515,2283,100,JUNGLE,Quinngle,Quinn,0,0,6293,10077,200,JUNGLE,8274.280633384391,NA1_5321622511
120,Zaphkiel,JarvanIV,0,4,7473,3458,100,JUNGLE,Quinngle,Quinn,0,4,3564,8558,200,JUNGLE,6425.751395751317,NA1_5321622511
180,Zaphkiel,JarvanIV,0,16,4447,8464,100,JUNGLE,Quinngle,Quinn,0,12,6336,11091,200,JUNGLE,3235.6529480152844,NA1_5321622511
240,Zaphkiel,JarvanIV,4,16,12374,5182,100,JUNGLE,Quinngle,Quinn,0,16,12528,5489,200,JUNGLE,343.4603324985289,NA1_5321622511
300,Zaphkiel,JarvanIV,4,20,8522,2643,100,JUNGLE,Quinngle,Quinn,0,24,11223,7114,200,JUNGLE,5223.527735161363,NA1_5321622511
360,Zaphkiel,JarvanIV,9,24,492,769,100,JUNGLE,Quinngle,Quinn,0,36,2508,8571,200,JUNGLE,8058.254153351084,NA1_5321622511
420,Zaphkiel,JarvanIV,9,28,11901,5853,100,JUNGLE,Quinngle,Quinn,0,48,5952,12407,200,JUNGLE,8851.300299955934,NA1_5321622511
480,Zaphkiel,JarvanIV,9,32,12796,4319,100,JUNGLE,Quinngle,Quinn,0,48,13055,3214,200,JUNGLE,1134.9475758818114,NA1_5321622511
540,Zaphkiel,JarvanIV,9,44,5191,5674,100,JUNGLE,Quinngle,Quinn,0,52,10311,8797,200,JUNGLE,5997.293472892585,NA1_5321622511
600,Zaphkiel,JarvanIV,9,54,3435,10686,100,JUNGLE,Quinngle,Quinn,0,62,3663,10061,200,JUNGLE,665.2886591548063,NA1_5321622511
660,Zaphkiel,JarvanIV,9,54,12743,2883,100,JUNGLE,Quinngle,Quinn,1,66,2444,9874,200,JUNGLE,12447.629573537284,NA1_5321622511
720,Zaphkiel,JarvanIV,13,54,3994,8419,100,JUNGLE,Quinngle,Quinn,3,72,5655,9431,200,JUNGLE,1945.0102827491685,NA1_5321622511
780,Zaphkiel,JarvanIV,13,70,11951,2454,100,JUNGLE,Quinngle,Quinn,3,76,14340,14340,200,JUNGLE,12123.708879711687,NA1_5321622511
840,Zaphkiel,JarvanIV,17,74,11440,5877,100,JUNGLE,Quinngle,Quinn,3,80,10132,5336,200,JUNGLE,1415.46635424513,NA1_5321622511
900,Zaphkiel,JarvanIV,17,78,11428,3934,100,JUNGLE,Quinngle,Quinn,4,90,4822,9506,200,JUNGLE,8642.130524355669,NA1_5321622511
960,Zaphkiel,JarvanIV,17,82,3597,6586,100,JUNGLE,Quinngle,Quinn,5,94,8233,7597,200,JUNGLE,4744.957007181414,NA1_5321622511
1020,Zaphkiel,JarvanIV,17,90,6190,5915,100,JUNGLE,Quinngle,Quinn,7,102,5622,6088,200,JUNGLE,593.7617367261047,NA1_5321622511
1080,Zaphkiel,JarvanIV,17,90,8630,2598,100,JUNGLE,Quinngle,Quinn,7,112,11918,7123,200,JUNGLE,5593.439818215621,NA1_5321622511
1140,Zaphkiel,JarvanIV,28,94,1169,5386,100,JUNGLE,Quinngle,Quinn,7,118,10352,10044,200,JUNGLE,10296.817615166348,NA1_5321622511
1200,Zaphkiel,JarvanIV,28,110,7978,5460,100,JUNGLE,Quinngle,Quinn,8,126,8076,5380,200,JUNGLE,126.50691680694776,NA1_5321622511
1260,Zaphkiel,JarvanIV,30,114,10734,5412,100,JUNGLE,Quinngle,Quinn,8,126,12051,4663,200,JUNGLE,1515.0874562215872,NA1_5321622511
1320,Zaphkiel,JarvanIV,31,118,3135,7645,100,JUNGLE,Quinngle,Quinn,8,134,6584,12504,200,JUNGLE,5958.647665368376,NA1_5321622511
1380,Zaphkiel,JarvanIV,31,134,10694,3267,100,JUNGLE,Quinngle,Quinn,8,142,11292,3516,200,JUNGLE,647.7692490385755,NA1_5321622511
1440,Zaphkiel,JarvanIV,40,134,8527,8111,100,JUNGLE,Quinngle,Quinn,9,146,12218,4499,200,JUNGLE,5164.302953932893,NA1_5321622511
1500,Zaphkiel,JarvanIV,41,134,10047,5256,100,JUNGLE,Quinngle,Quinn,9,146,10112,6043,200,JUNGLE,789.6796818964003,NA1_5321622511
1560,Zaphkiel,JarvanIV,43,138,2882,7746,100,JUNGLE,Quinngle,Quinn,9,150,2452,9016,200,JUNGLE,1340.820644232479,NA1_5321622511
1620,Zaphkiel,JarvanIV,43,138,3228,9096,100,JUNGLE,Quinngle,Quinn,12,150,4875,10218,200,JUNGLE,1992.8605069096031,NA1_5321622511
1680,Zaphkiel,JarvanIV,43,138,5184,10542,100,JUNGLE,Quinngle,Quinn,12,150,14306,14428,200,JUNGLE,9915.234742556528,NA1_5321622511
1740,Zaphkiel,JarvanIV,44,154,580,551,100,JUNGLE,Quinngle,Quinn,12,162,12198,4942,200,JUNGLE,12420.09681926836,NA1_5321622511
1800,Zaphkiel,JarvanIV,44,162,10231,4472,100,JUNGLE,Quinngle,Quinn,15,162,4888,8690,200,JUNGLE,6807.288226599488,NA1_5321622511
1860,Zaphkiel,JarvanIV,50,162,12073,12689,100,JUNGLE,Quinngle,Quinn,15,162,8824,9197,200,JUNGLE,4769.7028209313,NA1_5321622511
1920,Zaphkiel,JarvanIV,50,162,11275,11870,100,JUNGLE,Quinngle,Quinn,17,162,1627,2737,200,JUNGLE,13285.164394918114,NA1_5321622511
1980,Zaphkiel,JarvanIV,52,162,12835,13087,100,JUNGLE,Quinngle,Quinn,18,162,1098,3068,200,JUNGLE,15431.70534970131,NA1_5321622511
1984,Zaphkiel,JarvanIV,52,162,11973,12336,100,JUNGLE,Quinngle,Quinn,18,162,1098,3068,200,JUNGLE,14288.507584768957,NA1_5321622511
