Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,ToastandButter3x,Kayn,0,0,593,464,100,JUNGLE,Corey mfkn brah,Nunu,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5321113366
60,ToastandButter3x,Kayn,0,0,3396,7732,100,JUNGLE,Corey mfkn brah,Nunu,0,0,6275,10240,200,JUNGLE,3818.207039959986,NA1_5321113366
120,ToastandButter3x,Kayn,0,4,3520,8271,100,JUNGLE,Corey mfkn brah,Nunu,0,8,8359,10083,200,JUNGLE,5167.133150984209,NA1_5321113366
180,ToastandButter3x,Kayn,0,16,7952,3505,100,JUNGLE,Corey mfkn brah,Nunu,0,16,11496,8255,200,JUNGLE,5926.418479992785,NA1_5321113366
240,ToastandButter3x,Kayn,1,24,776,1005,100,JUNGLE,Corey mfkn brah,Nunu,0,20,14340,14390,200,JUNGLE,19056.240998685967,NA1_5321113366
300,ToastandButter3x,Kayn,1,32,2485,8975,100,JUNGLE,Corey mfkn brah,Nunu,0,20,7534,9644,200,JUNGLE,5093.128900783879,NA1_5321113366
360,ToastandButter3x,Kayn,1,40,7660,4934,100,JUNGLE,Corey mfkn brah,Nunu,0,28,12616,2602,200,JUNGLE,5477.240180967054,NA1_5321113366
420,ToastandButter3x,Kayn,3,40,10366,3704,100,JUNGLE,Corey mfkn brah,Nunu,1,28,11254,13390,200,JUNGLE,9726.620173523792,NA1_5321113366
480,ToastandButter3x,Kayn,3,44,9956,4392,100,JUNGLE,Corey mfkn brah,Nunu,1,36,4232,10180,200,JUNGLE,8140.339059277568,NA1_5321113366
540,ToastandButter3x,Kayn,3,52,11363,6921,100,JUNGLE,Corey mfkn brah,Nunu,1,42,10081,7144,200,JUNGLE,1301.250552353389,NA1_5321113366
600,ToastandButter3x,Kayn,3,53,7818,3764,100,JUNGLE,Corey mfkn brah,Nunu,1,48,12135,1965,200,JUNGLE,4676.846159539567,NA1_5321113366
660,ToastandButter3x,Kayn,4,61,11895,5819,100,JUNGLE,Corey mfkn brah,Nunu,2,52,11040,6363,200,JUNGLE,1013.3908426663427,NA1_5321113366
720,ToastandButter3x,Kayn,4,73,1823,11754,100,JUNGLE,Corey mfkn brah,Nunu,2,59,8075,10222,200,JUNGLE,6436.96574482108,NA1_5321113366
780,ToastandButter3x,Kayn,10,81,6833,11397,100,JUNGLE,Corey mfkn brah,Nunu,2,64,11600,8308,200,JUNGLE,5680.33537742271,NA1_5321113366
840,ToastandButter3x,Kayn,11,81,9741,4469,100,JUNGLE,Corey mfkn brah,Nunu,3,72,11696,7213,200,JUNGLE,3369.2077703816367,NA1_5321113366
900,ToastandButter3x,Kayn,11,97,2423,8560,100,JUNGLE,Corey mfkn brah,Nunu,9,76,4420,11776,200,JUNGLE,3785.586480322435,NA1_5321113366
960,ToastandButter3x,Kayn,11,101,4312,9771,100,JUNGLE,Corey mfkn brah,Nunu,9,76,7298,12445,200,JUNGLE,4008.3003879449952,NA1_5321113366
1020,ToastandButter3x,Kayn,11,102,10840,6230,100,JUNGLE,Corey mfkn brah,Nunu,13,79,11517,7055,200,JUNGLE,1067.2178784109644,NA1_5321113366
1080,ToastandButter3x,Kayn,11,122,2314,8905,100,JUNGLE,Corey mfkn brah,Nunu,14,87,9783,8958,200,JUNGLE,7469.188041547756,NA1_5321113366
1140,ToastandButter3x,Kayn,18,130,11022,2408,100,JUNGLE,Corey mfkn brah,Nunu,14,99,12125,10910,200,JUNGLE,8573.24985055259,NA1_5321113366
1200,ToastandButter3x,Kayn,19,130,9702,4303,100,JUNGLE,Corey mfkn brah,Nunu,14,99,10266,7422,200,JUNGLE,3169.58309561368,NA1_5321113366
1260,ToastandButter3x,Kayn,19,138,11103,3550,100,JUNGLE,Corey mfkn brah,Nunu,14,99,11221,3685,200,JUNGLE,179.30142219179413,NA1_5321113366
1280,ToastandButter3x,Kayn,19,138,11103,3550,100,JUNGLE,Corey mfkn brah,Nunu,14,99,11221,3685,200,JUNGLE,179.30142219179413,NA1_5321113366
