Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,rjrojjcku,Ekko,0,0,593,464,100,JUNGLE,swagalicous boss,Khazix,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5321325161
60,rjrojjcku,Ekko,0,0,5415,5607,100,JUNGLE,swagalicous boss,Khazix,0,0,6074,9756,200,JUNGLE,4201.009640550709,NA1_5321325161
120,rjrojjcku,Ekko,0,4,2653,8265,100,JUNGLE,swagalicous boss,Khazix,0,4,6824,12711,200,JUNGLE,6096.241218980758,NA1_5321325161
180,rjrojjcku,Ekko,0,16,10576,3277,100,JUNGLE,swagalicous boss,Khazix,0,16,12062,6608,200,JUNGLE,3647.4315620721386,NA1_5321325161
240,rjrojjcku,Ekko,0,24,7151,3101,100,JUNGLE,swagalicous boss,Khazix,1,24,11161,6773,200,JUNGLE,5437.2496723987215,NA1_5321325161
300,rjrojjcku,Ekko,0,32,3430,6973,100,JUNGLE,swagalicous boss,Khazix,1,28,5260,13472,200,JUNGLE,6751.733184894083,NA1_5321325161
360,rjrojjcku,Ekko,0,37,7085,4489,100,JUNGLE,swagalicous boss,Khazix,1,31,11577,7783,200,JUNGLE,5570.323150410575,NA1_5321325161
420,rjrojjcku,Ekko,0,45,11671,6522,100,JUNGLE,swagalicous boss,Khazix,4,35,11668,9618,200,JUNGLE,3096.001453488031,NA1_5321325161
480,rjrojjcku,Ekko,0,53,2853,8250,100,JUNGLE,swagalicous boss,Khazix,4,43,6451,9339,200,JUNGLE,3759.1920674527923,NA1_5321325161
540,rjrojjcku,Ekko,0,67,3891,11651,100,JUNGLE,swagalicous boss,Khazix,5,51,3287,13611,200,JUNGLE,2050.954899552889,NA1_5321325161
600,rjrojjcku,Ekko,0,70,7830,2163,100,JUNGLE,swagalicous boss,Khazix,5,55,12004,6568,200,JUNGLE,6068.467763776948,NA1_5321325161
660,rjrojjcku,Ekko,0,79,9533,4295,100,JUNGLE,swagalicous boss,Khazix,5,59,11140,8477,200,JUNGLE,4480.130913265816,NA1_5321325161
720,rjrojjcku,Ekko,0,91,2752,8242,100,JUNGLE,swagalicous boss,Khazix,5,71,4102,11563,200,JUNGLE,3584.9046012411545,NA1_5321325161
780,rjrojjcku,Ekko,5,95,8159,2090,100,JUNGLE,swagalicous boss,Khazix,5,75,12171,4956,200,JUNGLE,4930.52735516192,NA1_5321325161
840,rjrojjcku,Ekko,6,103,11017,7665,100,JUNGLE,swagalicous boss,Khazix,5,75,7880,7638,200,JUNGLE,3137.11619166393,NA1_5321325161
900,rjrojjcku,Ekko,7,107,2498,8356,100,JUNGLE,swagalicous boss,Khazix,5,81,6476,12465,200,JUNGLE,5719.122747415026,NA1_5321325161
960,rjrojjcku,Ekko,7,119,8020,7835,100,JUNGLE,swagalicous boss,Khazix,5,89,8773,8347,200,JUNGLE,910.5783876196491,NA1_5321325161
1020,rjrojjcku,Ekko,8,119,1596,1280,100,JUNGLE,swagalicous boss,Khazix,6,89,3803,9900,200,JUNGLE,8898.047482453665,NA1_5321325161
1080,rjrojjcku,Ekko,8,131,6809,5233,100,JUNGLE,swagalicous boss,Khazix,6,101,8926,9763,200,JUNGLE,5000.258893297426,NA1_5321325161
1140,rjrojjcku,Ekko,12,147,2894,12146,100,JUNGLE,swagalicous boss,Khazix,6,107,2255,13374,200,JUNGLE,1384.3066856733735,NA1_5321325161
1200,rjrojjcku,Ekko,22,147,13905,7468,100,JUNGLE,swagalicous boss,Khazix,9,107,8538,11410,200,JUNGLE,6659.133051681728,NA1_5321325161
1260,rjrojjcku,Ekko,22,151,11398,3821,100,JUNGLE,swagalicous boss,Khazix,9,107,11045,6214,200,JUNGLE,2418.896029183561,NA1_5321325161
1320,rjrojjcku,Ekko,22,151,10106,6220,100,JUNGLE,swagalicous boss,Khazix,9,107,8610,5060,200,JUNGLE,1893.044109364597,NA1_5321325161
1380,rjrojjcku,Ekko,22,151,10499,4757,100,JUNGLE,swagalicous boss,Khazix,9,107,10022,6087,200,JUNGLE,1412.9504591456844,NA1_5321325161
1440,rjrojjcku,Ekko,31,167,7599,11549,100,JUNGLE,swagalicous boss,Khazix,10,111,8042,11950,200,JUNGLE,597.5366097570926,NA1_5321325161
1500,rjrojjcku,Ekko,31,167,4312,1097,100,JUNGLE,swagalicous boss,Khazix,16,111,13426,10928,200,JUNGLE,13405.728514332968,NA1_5321325161
1560,rjrojjcku,Ekko,32,179,13099,6469,100,JUNGLE,swagalicous boss,Khazix,21,119,12364,6667,200,JUNGLE,761.2023384094402,NA1_5321325161
1609,rjrojjcku,Ekko,37,179,13468,13752,100,JUNGLE,swagalicous boss,Khazix,23,123,8505,13942,200,JUNGLE,4966.635581558204,NA1_5321325161
