Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,Rynaose,Pantheon,0,0,593,464,100,JUNGLE,tearau,Viego,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5322728833
60,Rynaose,Pantheon,0,0,6866,4295,100,JUNGLE,tearau,Viego,0,0,7674,11398,200,JUNGLE,7148.809201538394,NA1_5322728833
120,Rynaose,Pantheon,0,4,2485,8292,100,JUNGLE,tearau,Viego,0,4,6888,12633,200,JUNGLE,6183.09712037584,NA1_5322728833
180,Rynaose,Pantheon,0,16,7939,3529,100,JUNGLE,tearau,Viego,0,16,11991,6727,200,JUNGLE,5161.967454372412,NA1_5322728833
240,Rynaose,Pantheon,0,24,11771,4139,100,JUNGLE,tearau,Viego,0,28,11610,4432,200,JUNGLE,334.32020579079574,NA1_5322728833
300,Rynaose,Pantheon,0,28,2122,11463,100,JUNGLE,tearau,Viego,0,28,6545,12439,200,JUNGLE,4529.404486243197,NA1_5322728833
360,Rynaose,Pantheon,0,40,8265,4941,100,JUNGLE,tearau,Viego,0,44,10970,6357,200,JUNGLE,3053.2083125787535,NA1_5322728833
420,Rynaose,Pantheon,1,40,9571,2495,100,JUNGLE,tearau,Viego,1,48,12171,4569,200,JUNGLE,3325.879733243522,NA1_5322728833
480,Rynaose,Pantheon,1,48,3774,8441,100,JUNGLE,tearau,Viego,1,52,6492,12632,200,JUNGLE,4995.19819426617,NA1_5322728833
540,Rynaose,Pantheon,1,52,3820,3303,100,JUNGLE,tearau,Viego,1,60,6447,9407,200,JUNGLE,6645.294952069472,NA1_5322728833
600,Rynaose,Pantheon,7,52,2528,8313,100,JUNGLE,tearau,Viego,1,64,8269,3561,200,JUNGLE,7452.555601939512,NA1_5322728833
660,Rynaose,Pantheon,7,62,8759,2243,100,JUNGLE,tearau,Viego,1,76,11873,6544,200,JUNGLE,5309.952636323605,NA1_5322728833
720,Rynaose,Pantheon,7,64,2787,6225,100,JUNGLE,tearau,Viego,1,84,10794,13555,200,JUNGLE,10855.457106911712,NA1_5322728833
780,Rynaose,Pantheon,7,64,5370,953,100,JUNGLE,tearau,Viego,1,91,2974,7713,200,JUNGLE,7172.058003111799,NA1_5322728833
840,Rynaose,Pantheon,7,72,3124,7649,100,JUNGLE,tearau,Viego,1,111,14317,14311,200,JUNGLE,13025.57073605606,NA1_5322728833
900,Rynaose,Pantheon,14,72,7845,5799,100,JUNGLE,tearau,Viego,2,123,10361,8497,200,JUNGLE,3689.100161285947,NA1_5322728833
960,Rynaose,Pantheon,15,72,12388,1330,100,JUNGLE,tearau,Viego,2,123,9099,1660,200,JUNGLE,3305.5137270929613,NA1_5322728833
1020,Rynaose,Pantheon,16,80,1215,10764,100,JUNGLE,tearau,Viego,2,131,11251,4653,200,JUNGLE,11750.132637549246,NA1_5322728833
1080,Rynaose,Pantheon,17,84,4406,5982,100,JUNGLE,tearau,Viego,2,135,4834,10103,200,JUNGLE,4143.166059911188,NA1_5322728833
1140,Rynaose,Pantheon,17,92,3134,7538,100,JUNGLE,tearau,Viego,2,147,6165,11224,200,JUNGLE,4772.164812744841,NA1_5322728833
1200,Rynaose,Pantheon,17,96,3859,1417,100,JUNGLE,tearau,Viego,4,147,6256,1444,200,JUNGLE,2397.1520602581722,NA1_5322728833
1260,Rynaose,Pantheon,18,100,8526,3404,100,JUNGLE,tearau,Viego,4,155,11344,3337,200,JUNGLE,2818.7963743413607,NA1_5322728833
1320,Rynaose,Pantheon,23,101,10014,3993,100,JUNGLE,tearau,Viego,4,159,6248,3329,200,JUNGLE,3824.088388099836,NA1_5322728833
1380,Rynaose,Pantheon,23,101,10889,4996,100,JUNGLE,tearau,Viego,4,159,11082,5155,200,JUNGLE,250.05999280172747,NA1_5322728833
1440,Rynaose,Pantheon,25,101,7699,1696,100,JUNGLE,tearau,Viego,5,167,2210,8460,200,JUNGLE,8710.959591227593,NA1_5322728833
1500,Rynaose,Pantheon,26,105,720,6682,100,JUNGLE,tearau,Viego,5,178,2062,9702,200,JUNGLE,3304.748704515973,NA1_5322728833
1560,Rynaose,Pantheon,26,105,788,2575,100,JUNGLE,tearau,Viego,7,178,1071,5815,200,JUNGLE,3252.335929758794,NA1_5322728833
1620,Rynaose,Pantheon,27,109,3357,6914,100,JUNGLE,tearau,Viego,7,178,11300,7006,200,JUNGLE,7943.532778304625,NA1_5322728833
1680,Rynaose,Pantheon,34,113,4188,1684,100,JUNGLE,tearau,Viego,8,182,6103,2125,200,JUNGLE,1965.1223880460982,NA1_5322728833
1740,Rynaose,Pantheon,34,113,8826,3780,100,JUNGLE,tearau,Viego,8,182,8636,4666,200,JUNGLE,906.1434764980654,NA1_5322728833
1791,Rynaose,Pantheon,39,113,505,476,100,JUNGLE,tearau,Viego,12,182,1142,1658,200,JUNGLE,1342.7185110811574,NA1_5322728833
