Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,jall27,Pantheon,0,0,593,464,100,JUNGLE,Soera,DrMundo,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5320882961
60,jall27,Pantheon,0,0,6465,4535,100,JUNGLE,Soera,DrMundo,0,0,8095,10222,200,JUNGLE,5915.984195381187,NA1_5320882961
120,jall27,Pantheon,0,4,8587,2296,100,JUNGLE,Soera,DrMundo,0,6,7052,12676,200,JUNGLE,10492.884493789112,NA1_5320882961
180,jall27,Pantheon,0,16,3091,8038,100,JUNGLE,Soera,DrMundo,0,16,12289,6691,200,JUNGLE,9296.107411169472,NA1_5320882961
240,jall27,Pantheon,0,28,8383,6424,100,JUNGLE,Soera,DrMundo,0,28,9555,5986,200,JUNGLE,1251.1706518297174,NA1_5320882961
300,jall27,Pantheon,0,36,13106,3196,100,JUNGLE,Soera,DrMundo,0,28,12316,1352,200,JUNGLE,2006.0996984197968,NA1_5320882961
360,jall27,Pantheon,1,36,2602,5383,100,JUNGLE,Soera,DrMundo,0,36,9333,9491,200,JUNGLE,7885.558001815724,NA1_5320882961
420,jall27,Pantheon,1,40,7560,10951,100,JUNGLE,Soera,DrMundo,0,47,7354,3450,200,JUNGLE,7503.828156347931,NA1_5320882961
480,jall27,Pantheon,1,49,3549,6996,100,JUNGLE,Soera,DrMundo,0,51,10633,5505,200,JUNGLE,7239.208313068495,NA1_5320882961
540,jall27,Pantheon,1,62,6242,11390,100,JUNGLE,Soera,DrMundo,0,63,11480,8109,200,JUNGLE,6180.744696232,NA1_5320882961
600,jall27,Pantheon,2,66,7210,5079,100,JUNGLE,Soera,DrMundo,3,67,6370,8311,200,JUNGLE,3339.374791783636,NA1_5320882961
660,jall27,Pantheon,2,78,2170,7579,100,JUNGLE,Soera,DrMundo,3,71,10333,12095,200,JUNGLE,9328.924107312698,NA1_5320882961
720,jall27,Pantheon,3,90,10444,3093,100,JUNGLE,Soera,DrMundo,3,75,13549,7846,200,JUNGLE,5677.326307338693,NA1_5320882961
780,jall27,Pantheon,3,94,9062,2238,100,JUNGLE,Soera,DrMundo,3,75,11728,3191,200,JUNGLE,2831.2126377225713,NA1_5320882961
840,jall27,Pantheon,3,98,5509,1171,100,JUNGLE,Soera,DrMundo,3,83,8040,9943,200,JUNGLE,9129.838169431045,NA1_5320882961
900,jall27,Pantheon,3,106,10366,4951,100,JUNGLE,Soera,DrMundo,3,95,12465,5551,200,JUNGLE,2183.071460122183,NA1_5320882961
960,jall27,Pantheon,4,110,4767,9409,100,JUNGLE,Soera,DrMundo,3,95,7141,9834,200,JUNGLE,2411.7423162518835,NA1_5320882961
1020,jall27,Pantheon,4,120,6265,12401,100,JUNGLE,Soera,DrMundo,3,99,4432,9618,200,JUNGLE,3332.4132396808172,NA1_5320882961
1080,jall27,Pantheon,4,130,5877,6736,100,JUNGLE,Soera,DrMundo,4,99,6028,6913,200,JUNGLE,232.65854809140367,NA1_5320882961
1140,jall27,Pantheon,5,142,1836,12861,100,JUNGLE,Soera,DrMundo,5,107,10246,3244,200,JUNGLE,12775.554351964536,NA1_5320882961
1200,jall27,Pantheon,7,142,12152,4855,100,JUNGLE,Soera,DrMundo,6,107,11514,4679,200,JUNGLE,661.8307940856182,NA1_5320882961
1260,jall27,Pantheon,7,146,2572,6429,100,JUNGLE,Soera,DrMundo,6,111,7489,11895,200,JUNGLE,7352.145605195806,NA1_5320882961
1320,jall27,Pantheon,7,154,8111,12125,100,JUNGLE,Soera,DrMundo,6,119,10136,5834,200,JUNGLE,6608.880843229056,NA1_5320882961
1380,jall27,Pantheon,7,158,7379,3877,100,JUNGLE,Soera,DrMundo,6,123,4154,9842,200,JUNGLE,6780.991815361525,NA1_5320882961
1440,jall27,Pantheon,7,169,4121,7151,100,JUNGLE,Soera,DrMundo,6,124,4024,6108,200,JUNGLE,1047.5008353218627,NA1_5320882961
1500,jall27,Pantheon,7,185,5866,12649,100,JUNGLE,Soera,DrMundo,6,124,11638,11114,200,JUNGLE,5972.621618686388,NA1_5320882961
1560,jall27,Pantheon,7,185,10013,4404,100,JUNGLE,Soera,DrMundo,6,128,9905,5189,200,JUNGLE,792.394472469363,NA1_5320882961
1620,jall27,Pantheon,8,193,8603,3933,100,JUNGLE,Soera,DrMundo,6,128,11412,6746,200,JUNGLE,3975.35533003026,NA1_5320882961
1680,jall27,Pantheon,12,197,13080,11192,100,JUNGLE,Soera,DrMundo,6,136,12342,11827,200,JUNGLE,973.5856408144073,NA1_5320882961
1708,jall27,Pantheon,16,197,14303,14334,100,JUNGLE,Soera,DrMundo,6,136,12342,11827,200,JUNGLE,3182.8556360601715,NA1_5320882961
