Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,M0cchiB0cchi,MonkeyKing,0,0,593,464,100,JUNGLE,youngle223,Diana,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5322718837
60,M0cchiB0cchi,MonkeyKing,0,0,3524,6708,100,JUNGLE,youngle223,Diana,0,0,10408,12348,200,JUNGLE,8899.385147300907,NA1_5322718837
120,M0cchiB0cchi,MonkeyKing,0,4,7995,2353,100,JUNGLE,youngle223,Diana,0,4,6959,12597,200,JUNGLE,10296.253299137506,NA1_5322718837
180,M0cchiB0cchi,MonkeyKing,0,16,3492,7773,100,JUNGLE,youngle223,Diana,0,16,12495,6025,200,JUNGLE,9171.123867880098,NA1_5322718837
240,M0cchiB0cchi,MonkeyKing,0,28,4380,14022,100,JUNGLE,youngle223,Diana,1,20,10940,4205,200,JUNGLE,11807.077919620926,NA1_5322718837
300,M0cchiB0cchi,MonkeyKing,2,30,7826,2294,100,JUNGLE,youngle223,Diana,1,24,6265,12333,200,JUNGLE,10159.637887247754,NA1_5322718837
360,M0cchiB0cchi,MonkeyKing,2,40,2609,8424,100,JUNGLE,youngle223,Diana,1,40,12415,6168,200,JUNGLE,10062.165373318012,NA1_5322718837
420,M0cchiB0cchi,MonkeyKing,2,44,6242,2271,100,JUNGLE,youngle223,Diana,5,44,8605,4251,200,JUNGLE,3082.883228408108,NA1_5322718837
480,M0cchiB0cchi,MonkeyKing,2,52,5246,7410,100,JUNGLE,youngle223,Diana,5,44,6413,12340,200,JUNGLE,5066.240124589438,NA1_5322718837
540,M0cchiB0cchi,MonkeyKing,2,58,6722,7285,100,JUNGLE,youngle223,Diana,5,56,8322,7622,200,JUNGLE,1635.105195392639,NA1_5322718837
600,M0cchiB0cchi,MonkeyKing,2,66,2620,8157,100,JUNGLE,youngle223,Diana,8,64,11104,8546,200,JUNGLE,8492.913339955849,NA1_5322718837
660,M0cchiB0cchi,MonkeyKing,2,78,8990,5444,100,JUNGLE,youngle223,Diana,8,72,8049,9725,200,JUNGLE,4383.199972622741,NA1_5322718837
720,M0cchiB0cchi,MonkeyKing,2,82,6191,2200,100,JUNGLE,youngle223,Diana,10,80,11294,6887,200,JUNGLE,6928.822266446153,NA1_5322718837
780,M0cchiB0cchi,MonkeyKing,4,90,12157,2067,100,JUNGLE,youngle223,Diana,10,88,5162,12399,200,JUNGLE,12477.189146598685,NA1_5322718837
840,M0cchiB0cchi,MonkeyKing,4,92,2746,8108,100,JUNGLE,youngle223,Diana,12,96,4817,8984,200,JUNGLE,2248.6478159107087,NA1_5322718837
900,M0cchiB0cchi,MonkeyKing,8,92,8338,2519,100,JUNGLE,youngle223,Diana,12,104,8446,7650,200,JUNGLE,5132.136494677436,NA1_5322718837
960,M0cchiB0cchi,MonkeyKing,9,96,3209,7685,100,JUNGLE,youngle223,Diana,12,116,6740,12593,200,JUNGLE,6046.190949680634,NA1_5322718837
1020,M0cchiB0cchi,MonkeyKing,9,108,5684,5268,100,JUNGLE,youngle223,Diana,12,132,7370,6094,200,JUNGLE,1877.46424732936,NA1_5322718837
1080,M0cchiB0cchi,MonkeyKing,10,110,8112,2278,100,JUNGLE,youngle223,Diana,16,136,10958,3721,200,JUNGLE,3190.919146578302,NA1_5322718837
1140,M0cchiB0cchi,MonkeyKing,10,120,4659,7323,100,JUNGLE,youngle223,Diana,16,136,6179,12324,200,JUNGLE,5226.892097604465,NA1_5322718837
1200,M0cchiB0cchi,MonkeyKing,10,128,7376,5070,100,JUNGLE,youngle223,Diana,19,144,13959,13307,200,JUNGLE,10544.385140917417,NA1_5322718837
1260,M0cchiB0cchi,MonkeyKing,10,132,9729,3124,100,JUNGLE,youngle223,Diana,19,156,12210,3392,200,JUNGLE,2495.4328281883286,NA1_5322718837
1320,M0cchiB0cchi,MonkeyKing,10,132,10458,1496,100,JUNGLE,youngle223,Diana,27,160,7405,7624,200,JUNGLE,6846.400002921243,NA1_5322718837
1380,M0cchiB0cchi,MonkeyKing,10,144,4654,9588,100,JUNGLE,youngle223,Diana,38,164,11350,8381,200,JUNGLE,6803.915416875786,NA1_5322718837
1440,M0cchiB0cchi,MonkeyKing,10,152,5120,1515,100,JUNGLE,youngle223,Diana,40,180,6457,2665,200,JUNGLE,1763.5387719015423,NA1_5322718837
1500,M0cchiB0cchi,MonkeyKing,13,152,5595,1244,100,JUNGLE,youngle223,Diana,44,180,6499,1454,200,JUNGLE,928.0711179645664,NA1_5322718837
1560,M0cchiB0cchi,MonkeyKing,16,152,9846,5182,100,JUNGLE,youngle223,Diana,44,188,9992,5744,200,JUNGLE,580.6548027873359,NA1_5322718837
1620,M0cchiB0cchi,MonkeyKing,27,152,4766,4348,100,JUNGLE,youngle223,Diana,53,203,5169,9835,200,JUNGLE,5501.779530297447,NA1_5322718837
1680,M0cchiB0cchi,MonkeyKing,27,156,2916,5203,100,JUNGLE,youngle223,Diana,54,215,12415,11722,200,JUNGLE,11520.779574317008,NA1_5322718837
1740,M0cchiB0cchi,MonkeyKing,27,156,1058,788,100,JUNGLE,youngle223,Diana,59,215,1871,2049,200,JUNGLE,1500.363289340285,NA1_5322718837
1749,M0cchiB0cchi,MonkeyKing,27,156,1058,788,100,JUNGLE,youngle223,Diana,59,215,1282,1267,200,JUNGLE,528.7882373880872,NA1_5322718837
