Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,Leon,DrMundo,0,0,593,464,100,JUNGLE,static,Talon,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5321629580
60,Leon,DrMundo,0,0,908,657,100,JUNGLE,static,Talon,0,0,8232,10099,200,JUNGLE,11949.574887835968,NA1_5321629580
120,Leon,DrMundo,0,4,8579,2484,100,JUNGLE,static,Talon,0,4,12497,6151,200,JUNGLE,5366.340745796897,NA1_5321629580
180,Leon,DrMundo,0,16,3466,8615,100,JUNGLE,static,Talon,0,16,7432,11574,200,JUNGLE,4948.215536938544,NA1_5321629580
240,Leon,DrMundo,0,28,7278,8554,100,JUNGLE,static,Talon,0,28,9901,5194,200,JUNGLE,4262.596509171376,NA1_5321629580
300,Leon,DrMundo,1,28,10875,4844,100,JUNGLE,static,Talon,6,28,12945,5854,200,JUNGLE,2303.2585612562043,NA1_5321629580
360,Leon,DrMundo,1,32,7589,2971,100,JUNGLE,static,Talon,6,40,6827,12793,200,JUNGLE,9851.51399532072,NA1_5321629580
420,Leon,DrMundo,7,36,11534,4558,100,JUNGLE,static,Talon,6,48,10681,5201,200,JUNGLE,1068.203164196774,NA1_5321629580
480,Leon,DrMundo,7,44,2963,7997,100,JUNGLE,static,Talon,12,52,12302,2822,200,JUNGLE,10676.963332333777,NA1_5321629580
540,Leon,DrMundo,7,50,4808,8610,100,JUNGLE,static,Talon,12,60,8076,10134,200,JUNGLE,3605.8840802222135,NA1_5321629580
600,Leon,DrMundo,8,53,9252,3799,100,JUNGLE,static,Talon,12,76,10481,5040,200,JUNGLE,1746.5743614286796,NA1_5321629580
660,Leon,DrMundo,9,57,12300,1709,100,JUNGLE,static,Talon,12,76,12920,3216,200,JUNGLE,1629.5548471898699,NA1_5321629580
720,Leon,DrMundo,9,61,2778,5593,100,JUNGLE,static,Talon,12,80,6987,7186,200,JUNGLE,4500.36998479014,NA1_5321629580
780,Leon,DrMundo,10,69,6348,12042,100,JUNGLE,static,Talon,13,92,11276,3487,200,JUNGLE,9872.852120841271,NA1_5321629580
840,Leon,DrMundo,10,73,11886,1613,100,JUNGLE,static,Talon,13,100,3767,10446,200,JUNGLE,11997.501823296381,NA1_5321629580
900,Leon,DrMundo,10,73,14100,6971,100,JUNGLE,static,Talon,14,100,12583,7636,200,JUNGLE,1656.3556381405535,NA1_5321629580
960,Leon,DrMundo,10,73,7241,7114,100,JUNGLE,static,Talon,14,112,5164,9333,200,JUNGLE,3039.3897413790155,NA1_5321629580
1020,Leon,DrMundo,10,77,10331,4794,100,JUNGLE,static,Talon,14,116,10253,5094,200,JUNGLE,309.97419247414774,NA1_5321629580
1080,Leon,DrMundo,10,85,3419,9198,100,JUNGLE,static,Talon,23,124,11484,8075,200,JUNGLE,8142.80995725677,NA1_5321629580
1140,Leon,DrMundo,10,101,960,8503,100,JUNGLE,static,Talon,23,136,8902,11098,200,JUNGLE,8355.201314151564,NA1_5321629580
1200,Leon,DrMundo,10,105,10305,7974,100,JUNGLE,static,Talon,26,136,11218,8774,200,JUNGLE,1213.9065038132055,NA1_5321629580
1260,Leon,DrMundo,10,105,5568,1577,100,JUNGLE,static,Talon,28,140,11580,8005,200,JUNGLE,8801.325354740615,NA1_5321629580
1320,Leon,DrMundo,10,120,9855,5119,100,JUNGLE,static,Talon,28,155,14340,14391,200,JUNGLE,10299.767424558673,NA1_5321629580
1380,Leon,DrMundo,10,128,4199,7324,100,JUNGLE,static,Talon,31,155,7223,7183,200,JUNGLE,3027.2854176638184,NA1_5321629580
1440,Leon,DrMundo,13,128,11209,10025,100,JUNGLE,static,Talon,32,163,11227,11490,200,JUNGLE,1465.1105760317205,NA1_5321629580
1500,Leon,DrMundo,16,132,10858,4357,100,JUNGLE,static,Talon,39,167,12895,12581,200,JUNGLE,8472.517040407767,NA1_5321629580
1560,Leon,DrMundo,19,140,7113,1045,100,JUNGLE,static,Talon,48,171,7324,2408,200,JUNGLE,1379.2352953720406,NA1_5321629580
1620,Leon,DrMundo,19,140,2590,3324,100,JUNGLE,static,Talon,49,175,6877,11403,200,JUNGLE,9145.961403810974,NA1_5321629580
1680,Leon,DrMundo,20,148,11783,7830,100,JUNGLE,static,Talon,49,179,13454,10365,200,JUNGLE,3036.1926816327054,NA1_5321629580
1740,Leon,DrMundo,27,148,11728,10916,100,JUNGLE,static,Talon,56,179,11029,10523,200,JUNGLE,801.9039842774196,NA1_5321629580
1800,Leon,DrMundo,27,148,12519,11413,100,JUNGLE,static,Talon,56,179,11476,7405,200,JUNGLE,4141.486810313417,NA1_5321629580
1860,Leon,DrMundo,37,152,7099,6708,100,JUNGLE,static,Talon,57,195,6973,7567,200,JUNGLE,868.1917990858932,NA1_5321629580
