Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,one of one,Khazix,0,0,593,464,100,JUNGLE,Ttherrien2222,Taliyah,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5321380412
60,one of one,Khazix,0,0,6715,8318,100,JUNGLE,Ttherrien2222,Taliyah,0,0,8969,7996,200,JUNGLE,2276.883835420683,NA1_5321380412
120,one of one,Khazix,0,5,7764,2259,100,JUNGLE,Ttherrien2222,Taliyah,0,4,6903,11493,200,JUNGLE,9274.053967925785,NA1_5321380412
180,one of one,Khazix,0,16,2537,8360,100,JUNGLE,Ttherrien2222,Taliyah,0,12,14340,14391,200,JUNGLE,13254.57543642949,NA1_5321380412
240,one of one,Khazix,0,28,5578,8819,100,JUNGLE,Ttherrien2222,Taliyah,0,20,8939,5592,200,JUNGLE,4659.383006364684,NA1_5321380412
300,one of one,Khazix,2,32,5936,12336,100,JUNGLE,Ttherrien2222,Taliyah,0,28,8391,5624,200,JUNGLE,7146.88526562446,NA1_5321380412
360,one of one,Khazix,2,36,5901,5080,100,JUNGLE,Ttherrien2222,Taliyah,0,35,11233,6045,200,JUNGLE,5418.620580922787,NA1_5321380412
420,one of one,Khazix,2,48,7192,9731,100,JUNGLE,Ttherrien2222,Taliyah,0,43,8934,9735,200,JUNGLE,1742.0045924164494,NA1_5321380412
480,one of one,Khazix,2,50,1159,1701,100,JUNGLE,Ttherrien2222,Taliyah,0,44,7721,10955,200,JUNGLE,11344.441810860506,NA1_5321380412
540,one of one,Khazix,2,50,5800,3539,100,JUNGLE,Ttherrien2222,Taliyah,0,51,7100,12442,200,JUNGLE,8997.411238795301,NA1_5321380412
600,one of one,Khazix,2,62,4627,9228,100,JUNGLE,Ttherrien2222,Taliyah,0,54,5023,13006,200,JUNGLE,3798.6971450748742,NA1_5321380412
660,one of one,Khazix,2,70,2728,8370,100,JUNGLE,Ttherrien2222,Taliyah,1,62,11714,7363,200,JUNGLE,9042.247784704863,NA1_5321380412
720,one of one,Khazix,2,79,9042,2317,100,JUNGLE,Ttherrien2222,Taliyah,5,70,11383,4548,200,JUNGLE,3233.827762884103,NA1_5321380412
780,one of one,Khazix,2,86,6819,5159,100,JUNGLE,Ttherrien2222,Taliyah,7,70,11546,7170,200,JUNGLE,5136.988417351163,NA1_5321380412
840,one of one,Khazix,6,90,4259,7382,100,JUNGLE,Ttherrien2222,Taliyah,7,74,7288,9668,200,JUNGLE,3794.8171233934318,NA1_5321380412
900,one of one,Khazix,6,98,5524,6094,100,JUNGLE,Ttherrien2222,Taliyah,7,86,3348,12994,200,JUNGLE,7234.98279196295,NA1_5321380412
960,one of one,Khazix,6,102,7174,3782,100,JUNGLE,Ttherrien2222,Taliyah,7,94,11674,7483,200,JUNGLE,5826.439822052572,NA1_5321380412
1020,one of one,Khazix,6,117,3157,7886,100,JUNGLE,Ttherrien2222,Taliyah,10,102,3802,8407,200,JUNGLE,829.1356945639236,NA1_5321380412
1080,one of one,Khazix,6,121,8789,3663,100,JUNGLE,Ttherrien2222,Taliyah,10,106,8086,5780,200,JUNGLE,2230.6720960284592,NA1_5321380412
1140,one of one,Khazix,6,125,11162,6219,100,JUNGLE,Ttherrien2222,Taliyah,10,114,13021,6052,200,JUNGLE,1866.4860031620917,NA1_5321380412
1200,one of one,Khazix,6,134,7714,2573,100,JUNGLE,Ttherrien2222,Taliyah,10,122,7212,11219,200,JUNGLE,8660.561182740988,NA1_5321380412
1260,one of one,Khazix,6,137,3460,9789,100,JUNGLE,Ttherrien2222,Taliyah,10,130,3585,10466,200,JUNGLE,688.4431712203993,NA1_5321380412
1320,one of one,Khazix,6,141,3512,7919,100,JUNGLE,Ttherrien2222,Taliyah,10,142,7810,9908,200,JUNGLE,4735.918601496441,NA1_5321380412
1380,one of one,Khazix,7,153,6242,4853,100,JUNGLE,Ttherrien2222,Taliyah,12,142,8541,5968,200,JUNGLE,2555.117609817599,NA1_5321380412
1440,one of one,Khazix,7,153,9917,4770,100,JUNGLE,Ttherrien2222,Taliyah,14,142,6066,3976,200,JUNGLE,3932.0016531023994,NA1_5321380412
1500,one of one,Khazix,7,157,6224,10103,100,JUNGLE,Ttherrien2222,Taliyah,17,142,9081,9760,200,JUNGLE,2877.515942614393,NA1_5321380412
1560,one of one,Khazix,7,173,3138,8650,100,JUNGLE,Ttherrien2222,Taliyah,17,142,9226,9579,200,JUNGLE,6158.4726190834035,NA1_5321380412
1620,one of one,Khazix,7,177,6633,7897,100,JUNGLE,Ttherrien2222,Taliyah,17,150,7840,8272,200,JUNGLE,1263.9121804935658,NA1_5321380412
1680,one of one,Khazix,8,185,2805,4572,100,JUNGLE,Ttherrien2222,Taliyah,17,162,7511,11835,200,JUNGLE,8654.340240596044,NA1_5321380412
1740,one of one,Khazix,8,197,10107,8988,100,JUNGLE,Ttherrien2222,Taliyah,17,167,10217,9538,200,JUNGLE,560.8921464952064,NA1_5321380412
1800,one of one,Khazix,8,197,155,495,100,JUNGLE,Ttherrien2222,Taliyah,17,171,12165,7395,200,JUNGLE,13850.996354053379,NA1_5321380412
1860,one of one,Khazix,10,201,7734,8702,100,JUNGLE,Ttherrien2222,Taliyah,19,175,12865,13325,200,JUNGLE,6906.467259026137,NA1_5321380412
1892,one of one,Khazix,12,201,13514,12921,100,JUNGLE,Ttherrien2222,Taliyah,19,175,13684,13540,200,JUNGLE,641.9197769192035,NA1_5321380412
