Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,Stephén Hawking,Hecarim,0,0,593,464,100,JUNGLE,iheartMom5,Diana,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5321431447
60,Stephén Hawking,Hecarim,0,0,6060,8106,100,JUNGLE,iheartMom5,Diana,0,0,11429,7167,200,JUNGLE,5450.493739102908,NA1_5321431447
120,Stephén Hawking,Hecarim,0,4,2586,8325,100,JUNGLE,iheartMom5,Diana,0,4,12213,6624,200,JUNGLE,9776.120396148975,NA1_5321431447
180,Stephén Hawking,Hecarim,0,20,7862,2367,100,JUNGLE,iheartMom5,Diana,0,16,6853,11396,200,JUNGLE,9085.203464975344,NA1_5321431447
240,Stephén Hawking,Hecarim,1,28,7933,7504,100,JUNGLE,iheartMom5,Diana,0,28,8147,8019,200,JUNGLE,557.6925676391967,NA1_5321431447
300,Stephén Hawking,Hecarim,1,33,4160,6087,100,JUNGLE,iheartMom5,Diana,0,34,10834,8678,200,JUNGLE,7159.2986388332765,NA1_5321431447
360,Stephén Hawking,Hecarim,1,44,11727,5454,100,JUNGLE,iheartMom5,Diana,0,44,6418,12485,200,JUNGLE,8810.24642107132,NA1_5321431447
420,Stephén Hawking,Hecarim,2,44,4157,9489,100,JUNGLE,iheartMom5,Diana,4,44,9725,4346,200,JUNGLE,7579.780537720073,NA1_5321431447
480,Stephén Hawking,Hecarim,2,60,3418,11304,100,JUNGLE,iheartMom5,Diana,4,56,11039,8518,200,JUNGLE,8114.273658190239,NA1_5321431447
540,Stephén Hawking,Hecarim,4,66,6879,4632,100,JUNGLE,iheartMom5,Diana,4,64,7185,11063,200,JUNGLE,6438.27593381955,NA1_5321431447
600,Stephén Hawking,Hecarim,10,78,14089,6926,100,JUNGLE,iheartMom5,Diana,9,72,1211,12120,200,JUNGLE,13885.982860424392,NA1_5321431447
660,Stephén Hawking,Hecarim,11,82,1747,10767,100,JUNGLE,iheartMom5,Diana,9,84,5966,9143,200,JUNGLE,4520.767302129142,NA1_5321431447
720,Stephén Hawking,Hecarim,11,86,9818,2584,100,JUNGLE,iheartMom5,Diana,10,84,12619,10872,200,JUNGLE,8748.516731423677,NA1_5321431447
780,Stephén Hawking,Hecarim,11,90,10057,4492,100,JUNGLE,iheartMom5,Diana,10,84,13853,3490,200,JUNGLE,3926.018339233784,NA1_5321431447
840,Stephén Hawking,Hecarim,12,98,2696,12903,100,JUNGLE,iheartMom5,Diana,10,96,6657,9842,200,JUNGLE,5005.920694537619,NA1_5321431447
900,Stephén Hawking,Hecarim,12,98,3545,8210,100,JUNGLE,iheartMom5,Diana,10,105,6604,12439,200,JUNGLE,5219.379465032218,NA1_5321431447
960,Stephén Hawking,Hecarim,12,114,8298,8391,100,JUNGLE,iheartMom5,Diana,12,109,11695,7389,200,JUNGLE,3541.696344973691,NA1_5321431447
1020,Stephén Hawking,Hecarim,15,118,10302,5315,100,JUNGLE,iheartMom5,Diana,17,109,13993,8190,200,JUNGLE,4678.579485271143,NA1_5321431447
1080,Stephén Hawking,Hecarim,17,126,7907,7728,100,JUNGLE,iheartMom5,Diana,18,113,7718,7575,200,JUNGLE,243.16660954991332,NA1_5321431447
1140,Stephén Hawking,Hecarim,21,130,13994,7369,100,JUNGLE,iheartMom5,Diana,18,117,11210,8278,200,JUNGLE,2928.6408110248003,NA1_5321431447
1200,Stephén Hawking,Hecarim,22,138,2127,3185,100,JUNGLE,iheartMom5,Diana,18,117,7065,11148,200,JUNGLE,9369.803253003769,NA1_5321431447
1260,Stephén Hawking,Hecarim,23,142,2443,8569,100,JUNGLE,iheartMom5,Diana,26,125,13452,7969,200,JUNGLE,11025.338135404283,NA1_5321431447
1320,Stephén Hawking,Hecarim,23,162,11955,7112,100,JUNGLE,iheartMom5,Diana,28,129,10965,11313,200,JUNGLE,4316.074721317971,NA1_5321431447
1380,Stephén Hawking,Hecarim,25,169,11339,11569,100,JUNGLE,iheartMom5,Diana,28,129,9800,9415,200,JUNGLE,2647.3075000838116,NA1_5321431447
1440,Stephén Hawking,Hecarim,25,171,9822,4048,100,JUNGLE,iheartMom5,Diana,28,129,14340,14391,200,JUNGLE,11286.71666163371,NA1_5321431447
1500,Stephén Hawking,Hecarim,27,183,11285,10999,100,JUNGLE,iheartMom5,Diana,33,129,14043,9650,200,JUNGLE,3070.2385900773247,NA1_5321431447
1560,Stephén Hawking,Hecarim,28,187,4782,10383,100,JUNGLE,iheartMom5,Diana,35,129,13488,6072,200,JUNGLE,9714.893566066487,NA1_5321431447
1620,Stephén Hawking,Hecarim,35,199,8053,3457,100,JUNGLE,iheartMom5,Diana,36,133,11130,8543,200,JUNGLE,5944.352361695932,NA1_5321431447
1680,Stephén Hawking,Hecarim,56,203,13706,10269,100,JUNGLE,iheartMom5,Diana,36,133,11753,13388,200,JUNGLE,3679.995923910786,NA1_5321431447
1740,Stephén Hawking,Hecarim,63,203,12914,12970,100,JUNGLE,iheartMom5,Diana,36,133,13091,13882,200,JUNGLE,929.017222660592,NA1_5321431447
