Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,Demitri,Trundle,0,0,593,464,100,JUNGLE,G2 Luffy,LeeSin,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5321104340
60,Demitri,Trundle,0,0,8072,3508,100,JUNGLE,G2 Luffy,LeeSin,0,0,4060,8645,200,JUNGLE,6518.04518241474,NA1_5321104340
120,Demitri,Trundle,0,4,2454,8363,100,JUNGLE,G2 Luffy,LeeSin,0,4,6537,12386,200,JUNGLE,5731.964584677752,NA1_5321104340
180,Demitri,Trundle,0,16,7679,3793,100,JUNGLE,G2 Luffy,LeeSin,0,16,12691,6226,200,JUNGLE,5571.3223744457655,NA1_5321104340
240,Demitri,Trundle,0,20,10096,5943,100,JUNGLE,G2 Luffy,LeeSin,0,20,12614,5477,200,JUNGLE,2560.75770036917,NA1_5321104340
300,Demitri,Trundle,0,32,1663,12724,100,JUNGLE,G2 Luffy,LeeSin,0,24,5058,8478,200,JUNGLE,5436.408833044108,NA1_5321104340
360,Demitri,Trundle,0,36,6783,5216,100,JUNGLE,G2 Luffy,LeeSin,0,32,9347,9501,200,JUNGLE,4993.5279112066655,NA1_5321104340
420,Demitri,Trundle,0,44,12757,3191,100,JUNGLE,G2 Luffy,LeeSin,0,40,8109,7041,200,JUNGLE,6035.429065112106,NA1_5321104340
480,Demitri,Trundle,0,48,2622,13110,100,JUNGLE,G2 Luffy,LeeSin,0,48,2825,12941,200,JUNGLE,264.14011433328335,NA1_5321104340
540,Demitri,Trundle,1,52,4951,9288,100,JUNGLE,G2 Luffy,LeeSin,0,48,10000,4526,200,JUNGLE,6940.392279979569,NA1_5321104340
600,Demitri,Trundle,2,60,7034,4319,100,JUNGLE,G2 Luffy,LeeSin,0,56,12705,6252,200,JUNGLE,5991.387986101384,NA1_5321104340
660,Demitri,Trundle,6,72,3519,8621,100,JUNGLE,G2 Luffy,LeeSin,0,71,5995,12478,200,JUNGLE,4583.3421212036965,NA1_5321104340
720,Demitri,Trundle,6,76,6383,1287,100,JUNGLE,G2 Luffy,LeeSin,1,71,14119,12741,200,JUNGLE,13821.715233645931,NA1_5321104340
780,Demitri,Trundle,6,84,3556,7823,100,JUNGLE,G2 Luffy,LeeSin,7,79,11617,7999,200,JUNGLE,8062.921120784948,NA1_5321104340
840,Demitri,Trundle,6,100,3680,11950,100,JUNGLE,G2 Luffy,LeeSin,10,79,9722,5908,200,JUNGLE,8544.67834385824,NA1_5321104340
900,Demitri,Trundle,8,104,5150,1625,100,JUNGLE,G2 Luffy,LeeSin,11,91,11999,5248,200,JUNGLE,7748.221086159067,NA1_5321104340
960,Demitri,Trundle,8,116,3575,6638,100,JUNGLE,G2 Luffy,LeeSin,11,91,4687,9656,200,JUNGLE,3216.3438870867026,NA1_5321104340
1020,Demitri,Trundle,8,120,7868,5470,100,JUNGLE,G2 Luffy,LeeSin,12,99,7304,8499,200,JUNGLE,3081.061018545397,NA1_5321104340
1080,Demitri,Trundle,12,120,1534,8084,100,JUNGLE,G2 Luffy,LeeSin,16,99,7159,9042,200,JUNGLE,5705.99588152673,NA1_5321104340
1140,Demitri,Trundle,12,132,6908,5172,100,JUNGLE,G2 Luffy,LeeSin,16,99,7247,10972,200,JUNGLE,5809.898536119198,NA1_5321104340
1200,Demitri,Trundle,12,144,9387,2210,100,JUNGLE,G2 Luffy,LeeSin,22,103,10246,2947,200,JUNGLE,1131.8347935984298,NA1_5321104340
1260,Demitri,Trundle,12,148,7773,3685,100,JUNGLE,G2 Luffy,LeeSin,22,111,9591,9335,200,JUNGLE,5935.286345240641,NA1_5321104340
1320,Demitri,Trundle,12,159,2400,8335,100,JUNGLE,G2 Luffy,LeeSin,22,115,7407,2681,200,JUNGLE,7552.335069367619,NA1_5321104340
1380,Demitri,Trundle,23,163,582,558,100,JUNGLE,G2 Luffy,LeeSin,22,119,11266,10722,200,JUNGLE,14746.347073088982,NA1_5321104340
1440,Demitri,Trundle,23,163,8055,5624,100,JUNGLE,G2 Luffy,LeeSin,23,127,9217,8580,200,JUNGLE,3176.189540943676,NA1_5321104340
1500,Demitri,Trundle,35,167,9432,8643,100,JUNGLE,G2 Luffy,LeeSin,28,131,10026,5644,200,JUNGLE,3057.2597207303143,NA1_5321104340
1560,Demitri,Trundle,35,167,3472,7805,100,JUNGLE,G2 Luffy,LeeSin,30,143,11087,6689,200,JUNGLE,7696.342053209433,NA1_5321104340
1620,Demitri,Trundle,35,179,4735,8524,100,JUNGLE,G2 Luffy,LeeSin,30,143,4568,10419,200,JUNGLE,1902.3443431723922,NA1_5321104340
1680,Demitri,Trundle,36,179,5210,10738,100,JUNGLE,G2 Luffy,LeeSin,32,147,1534,4121,200,JUNGLE,7569.522111732022,NA1_5321104340
1705,Demitri,Trundle,36,179,1868,1446,100,JUNGLE,G2 Luffy,LeeSin,33,147,2237,1674,200,JUNGLE,433.75684432640367,NA1_5321104340
