Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,Daakroth,Khazix,0,0,593,464,100,JUNGLE,craz,Trundle,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5320907549
60,Daakroth,Khazix,0,0,4805,9285,100,JUNGLE,craz,Trundle,0,0,6245,10366,200,JUNGLE,1800.6001777185295,NA1_5320907549
120,Daakroth,Khazix,0,4,2499,8324,100,JUNGLE,craz,Trundle,0,4,6363,12516,200,JUNGLE,5701.171809373929,NA1_5320907549
180,Daakroth,Khazix,0,16,7537,2975,100,JUNGLE,craz,Trundle,0,12,11205,8363,200,JUNGLE,6518.034059438474,NA1_5320907549
240,Daakroth,Khazix,0,28,9015,5523,100,JUNGLE,craz,Trundle,0,24,10032,7260,200,JUNGLE,2012.8233901661615,NA1_5320907549
300,Daakroth,Khazix,0,32,3091,8330,100,JUNGLE,craz,Trundle,1,28,8225,10102,200,JUNGLE,5431.20060391807,NA1_5320907549
360,Daakroth,Khazix,0,37,3938,6507,100,JUNGLE,craz,Trundle,1,32,9202,5977,200,JUNGLE,5290.613953030404,NA1_5320907549
420,Daakroth,Khazix,0,48,394,461,100,JUNGLE,craz,Trundle,1,40,11794,7292,200,JUNGLE,13289.94209919667,NA1_5320907549
480,Daakroth,Khazix,0,56,4470,12092,100,JUNGLE,craz,Trundle,1,48,7205,11923,200,JUNGLE,2740.2164148110637,NA1_5320907549
540,Daakroth,Khazix,0,62,4692,10289,100,JUNGLE,craz,Trundle,1,54,12615,10920,200,JUNGLE,7948.087191268098,NA1_5320907549
600,Daakroth,Khazix,0,70,4949,5775,100,JUNGLE,craz,Trundle,1,62,8262,3542,200,JUNGLE,3995.2794645681547,NA1_5320907549
660,Daakroth,Khazix,1,76,11857,2318,100,JUNGLE,craz,Trundle,1,62,12436,6356,200,JUNGLE,4079.2995722305072,NA1_5320907549
720,Daakroth,Khazix,1,76,10324,5718,100,JUNGLE,craz,Trundle,2,62,10401,5624,200,JUNGLE,121.51131634543344,NA1_5320907549
780,Daakroth,Khazix,1,85,3891,6307,100,JUNGLE,craz,Trundle,2,70,12090,4868,200,JUNGLE,8324.321113460244,NA1_5320907549
840,Daakroth,Khazix,1,92,9005,6382,100,JUNGLE,craz,Trundle,3,74,10188,6312,200,JUNGLE,1185.0691962919295,NA1_5320907549
900,Daakroth,Khazix,1,92,4999,5726,100,JUNGLE,craz,Trundle,3,74,10171,6099,200,JUNGLE,5185.432768824604,NA1_5320907549
960,Daakroth,Khazix,1,100,4766,10006,100,JUNGLE,craz,Trundle,6,82,10464,5486,200,JUNGLE,7273.0739031031435,NA1_5320907549
1020,Daakroth,Khazix,1,104,10822,6058,100,JUNGLE,craz,Trundle,6,86,12842,5971,200,JUNGLE,2021.8726468301609,NA1_5320907549
1080,Daakroth,Khazix,1,108,12713,7330,100,JUNGLE,craz,Trundle,6,86,12989,7360,200,JUNGLE,277.62564723022257,NA1_5320907549
1140,Daakroth,Khazix,1,120,8792,3582,100,JUNGLE,craz,Trundle,6,86,11207,11881,200,JUNGLE,8643.241637256244,NA1_5320907549
1200,Daakroth,Khazix,1,140,394,461,100,JUNGLE,craz,Trundle,15,86,13477,14021,200,JUNGLE,18842.46504574176,NA1_5320907549
1260,Daakroth,Khazix,1,140,11399,3414,100,JUNGLE,craz,Trundle,22,86,8723,8903,200,JUNGLE,6106.5617985901035,NA1_5320907549
1285,Daakroth,Khazix,1,144,10204,6359,100,JUNGLE,craz,Trundle,23,86,9889,6407,200,JUNGLE,318.6361561405108,NA1_5320907549
